County,Less_Than_High_School_Diploma,At_Least_High_School_Diploma,At_Least_Bachelors's_Degree,Graduate_Degree,School_Enrollment,Median_Earnings_2010,White_Not_Latino_Population,African_American_Population,Native_American_Population,Asian_American_Population,Other_Race_or_Races,Latino_Population,Children_Under_6_Living_in_Poverty,Adults_65_and_Older_Living_in_Poverty,Total_Population,Preschool_Enrollment_Ratio_enrolled_ages_3_and_4,Poverty_Rate_below_federal_poverty_threshold,Gini_Coefficient,Child_Poverty_living_in_families_below_the_poverty_line,Management_professional_and_related_occupations,Service_occupations,Sales_and_office_occupations,Farming_fishing_and_forestry_occupations,Construction_extraction_maintenance_and_repair_occupations,Production_transportation_and_material_moving_occupations,SIRE_homogeneity,median_age,Poor_physical_health_days,Poor_mental_health_days,Low_birthweight,Teen_births,Children_in_single_parent_households,Adult_smoking,Adult_obesity,Diabetes,Sexually_transmitted_infections,HIV_prevalence_rate,Uninsured,Unemployment,Violent_crime,Homicide_rate,Injury_deaths,Infant_mortality,Result_2016
"Lonoke County, Arkansas",14.2,85.8,16.6,4.9,75.45,28134.093969999998,88.0,6.35,0.5,0.75,1.45,3.0,23.65,12.95,65890,45.8,12.45,0.391,16.8,29.9,14.15,28.05,1.3,12.2,14.35,0.77962375,35.3,3.3,3.9,0.08,47.1,0.271,0.20600000000000002,0.312,0.10800000000000001,317.3,57.3,0.165,0.061,390.71,4.24,71.1,6.8,0
"Monroe County, Arkansas",31.4,68.6,12.3,3.7,80.25,20974.931744999998,56.8,39.9,0.5,0.95,0.55,1.3,44.0,23.55,8377,52.0,22.65,0.47,28.8,24.2,18.15,23.0,5.75,6.85,22.15,0.48213950000000005,43.2,5.3,4.281428571428571,0.12,70.7,0.53,0.368,0.35100000000000003,0.141,1572.8,345.1,0.2,0.084,202.77,9.861842105263156,112.9,8.819999999999999,0
"Drew County, Arkansas",19.4,80.6,19.4,5.7,78.5,21988.9473,67.9,27.95,0.15,0.55,0.85,2.65,34.15,14.4,18604,73.5,23.45,0.469,36.95,28.35,18.25,20.15,3.6,9.4,20.2,0.53996825,36.8,4.5,4.7,0.1,47.7,0.429,0.18100000000000002,0.32299999999999995,0.126,747.3,79.9,0.19699999999999998,0.10800000000000001,449.02,9.861842105263156,82.0,8.819999999999999,0
"Madison County, Arkansas",24.2,75.8,13.4,4.1,76.4,23365.94889,92.0,0.25,1.25,0.3,1.5,4.7,26.2,18.45,15597,43.8,18.2,0.446,25.15,25.15,16.85,19.55,2.9,16.2,19.4,0.8490055000000001,38.5,4.9,2.1,0.07,49.0,0.179,0.304,0.32799999999999996,0.135,247.2,131.3,0.239,0.053,245.83,9.861842105263156,96.8,8.819999999999999,0
"Jasper County, Georgia",21.7,78.3,13.3,5.6,70.2,25363.06095,72.7,22.2,0.4,0.1,1.05,3.55,17.6,17.95,13744,36.5,18.05,0.451,27.6,21.6,17.15,22.6,4.35,15.1,19.25,0.5792005,38.1,4.3,3.6999999999999997,0.09,54.1,0.381,0.21,0.298,0.11800000000000001,324.1,402.4,0.239,0.096,205.6,6.990810810810811,71.6,9.171999999999995,0
"Eagle County, Colorado",12.8,87.2,45.9,11.7,64.1,35484.543175,68.4,0.3,0.25,1.15,1.1,28.9,11.65,4.85,51405,50.7,9.4,0.46399999999999997,12.05,32.9,24.8,20.05,0.45,15.5,6.3,0.5516455,33.4,2.5,2.1,0.09,41.3,0.204,0.095,0.132,0.036000000000000004,190.9,133.7,0.23,0.081,123.88,4.542941176470588,42.9,3.5,1
"Dodge County, Georgia",23.1,76.9,13.8,4.8,61.5,26927.608255000003,66.15,29.8,0.15,0.45,0.65,2.8,20.65,20.6,20745,41.5,21.15,0.46399999999999997,23.7,26.15,20.05,22.0,1.6,11.35,18.85,0.527235,37.7,4.3,4.7,0.12,64.0,0.45299999999999996,0.18899999999999997,0.358,0.153,497.9,315.8,0.20800000000000002,0.115,477.48,8.11,79.4,9.171999999999995,0
"Imperial County, California",37.7,62.3,12.2,4.0,77.95,22388.489205,15.2,3.1,1.0,1.6,0.85,78.25,29.1,14.05,167281,49.7,21.3,0.469,27.75,24.75,21.95,26.9,5.65,8.9,11.8,0.6367995,31.6,4.6,3.8,0.06,62.2,0.36,0.124,0.235,0.07400000000000001,429.2,146.1,0.228,0.28300000000000003,326.13,3.22,46.1,4.3,1
"Clarke County, Georgia",15.7,84.3,41.2,19.3,83.0,17442.985080000002,58.9,25.95,0.1,3.7,1.75,9.55,36.0,10.65,114913,51.6,33.25,0.531,33.15,40.1,20.0,22.75,0.6,5.4,11.15,0.42505775,25.8,3.2,4.3,0.09,24.8,0.429,0.122,0.267,0.09,768.7,288.7,0.243,0.07,369.83,5.03,44.8,9.1,1
"Yuma County, Colorado",16.4,83.6,17.8,4.5,73.9,23207.84889,78.5,0.15,0.5,0.1,0.5,20.25,9.7,11.35,9836,55.1,10.25,0.414,12.4,30.95,11.45,19.0,9.5,18.2,10.8,0.6572845,36.7,2.9,1.6,0.07,45.9,0.127,0.177,0.251,0.06,89.1,110.9,0.231,0.04,66.82,4.542941176470588,66.7,6.043749999999999,0
"Prowers County, Colorado",19.5,80.5,18.3,7.2,80.45,21133.90127,61.1,0.35,0.35,0.3,1.35,36.45,37.35,14.85,12878,52.4,22.35,0.44799999999999995,30.9,30.9,16.55,20.25,7.95,12.65,11.7,0.506397,35.9,4.1,3.7,0.09,67.7,0.319,0.191,0.255,0.073,390.5,89.6,0.226,0.065,102.68,4.542941176470588,92.7,6.043749999999999,0
"Carroll County, Georgia",21.2,78.8,18.3,6.7,76.25,25415.02603,74.35,17.55,0.2,0.8,1.7,5.5,21.15,15.1,110584,48.8,16.75,0.429,19.35,28.25,16.1,25.2,0.25,11.75,18.45,0.5869745,33.2,4.3,4.1,0.08,47.9,0.33299999999999996,0.215,0.314,0.129,409.3,224.1,0.226,0.09699999999999999,572.92,4.94,74.2,7.3,0
"San Francisco County, California",14.3,85.7,51.2,19.7,76.55,42931.72635,43.25,6.1,0.25,32.1,3.6,14.65,11.95,11.6,801253,62.5,11.7,0.507,12.35,50.6,16.35,22.55,0.1,4.65,5.75,0.31658275,38.3,3.1,3.1,0.07,16.2,0.29600000000000004,0.095,0.16,0.069,587.8,2021.7,0.139,0.073,712.15,8.37,62.5,4.0,1
"Wilkes County, Georgia",28.2,71.8,15.5,7.1,77.35,22097.221905000002,53.1,41.65,0.55,0.25,1.2,3.25,59.25,18.2,10442,32.7,24.4,0.48700000000000004,34.5,28.65,15.55,17.75,7.0,10.5,20.5,0.45666999999999996,43.0,4.5,3.6999999999999997,0.1,50.1,0.495,0.21157500000000004,0.327,0.16399999999999998,568.0,175.7,0.212,0.109,494.94,6.990810810810811,71.8,9.171999999999995,0
"Madison County, Illinois",10.6,89.4,23.0,8.1,80.65,30329.407935000003,87.05,7.9,0.2,0.75,1.6,2.45,21.5,6.7,268084,57.0,12.55,0.42700000000000005,18.3,33.0,17.2,25.8,0.2,9.25,14.5,0.76492775,38.2,3.8,3.9,0.08,38.1,0.327,0.198,0.32,0.111,408.6,105.0,0.11699999999999999,0.08800000000000001,246.23,4.76,72.7,7.6,0
"Dubuque County, Iowa",10.6,89.4,25.3,8.8,80.05,26345.32603,93.9,1.9,0.2,0.85,1.4,1.8,14.6,7.85,92849,52.4,8.7,0.426,11.45,33.25,17.8,24.95,0.55,7.8,15.75,0.88267825,38.2,2.3,1.9,0.06,27.2,0.253,0.1,0.272,0.09,350.8,43.8,0.091,0.048,247.52,1.55,45.8,5.3,0
